comp_name,sector,symbol
Reliance Industries Ltd.,Crude Oil,RELIANCE.BSE
Tata Consultancy Services Ltd.,IT,TCS.BSE
HDFC Bank Ltd.,Bank,HDFCBANK.BSE
ICICI Bank Ltd.,Bank,ICICI500.BSE
Hindustan Unilever Ltd.,FMCG,HINDUNILVR.BSE
ITC Ltd.,FMCG,ITC.BSE
Infosys Ltd.,IT,INFY.BSE
State Bank Of India,Bank,SBIN.BSE
Bharti Airtel Ltd.,Telecom,BHARTIARTL.BSE
Bajaj Finance Ltd.,Finance,BAJFINANCE.BSE
Kotak Mahindra Bank Ltd.,Bank,KOTAKBANK.BSE
Larsen & Toubro Ltd.,Infrastructure,LT.BSE
Asian Paints Ltd.,Chemicals,ASIANPAINT.BSE
